ORDEN,CODIGO,X (UTM),Y (UTM),ELEVACION,ESTACION,NOMBRE_CUE,UBICACION,TIPO,LATITUD,LONGITUD,PRECIPITAC,DESDE,HASTA
1,101,218900,2158700,45,DON MIGUEL,Rio Masacre,Don Miguel,CL NO,19 30 10,71 40 40,1424.5,65,96
2,201,231700,2156900,200,PARTIDO,Rio Chacuey,Partido,LT,19 29 20,71 33 20,1425.6,61,96
3,402,319400,2134600,300,TAVERA,Rio Yaque del Norte,Tavera,LT,,,,,
4,401,328200,2115900,500,JARABACOA,Rio Yaque del Norte,Jarabacoa,CL INDR,,,,,
5,101,218900,2158600,5,DON MIGUEL,Rio Yaque del Norte,DON MIGUEL,LT,19 30 10,71 40 40,1424.5,65,96
6,5408,246400,2107600,1215,CATANAMATIA,Rio Artibonito,Catanamatia,CL INDR,19 02 58,71 24 32,1421.6,79,96
7,5401,227100,2089700,430,MATAYAYA,Rio Artibonito,Matayaya,CL INDR,,,,,
8,5411,230913,2106562,518,SABANA MULA,Rio Artibonito,Sabana Mula,CL NO,19 02 02,71 33 23,964.8,81,96
9,602,283831,2194018,30,LA ISABELA,Rio Bajabonico,La Isabela,CL INDR,,,,,
10,2603,517633,2067237,130,NARANJO DE CHINA,Rio Chavon,Naranjo de China,LH,18 41 46,68 49 58,1655,0,0
11,3401,394200,2040200,10,ENGOMBE,Rio Haina,Engombe,CL INDR,18 27 00,70 00 07,1636.4,0,0
12,3403,371783,2057889,220,Presa Mana - La Finca,Rio Haina,Presa Mana - La Finca,LH,,,,,
13,4601,312800,2055500,500,PERALTA,Rio Jura,Peralta,CL NO,,,,,
14,4602,317100,2042200,140,RESOLI,Rio Jura,Resoli,CL NO,,,,,
15,5312,246800,2021400,35,ANGOSTURA,Lago Enriquillo,Angostura,CL INDR,18 16 12,71 23 46,543.9,76,96
16,5301,242700,2047500,100,NEYBA,Lago Enriquillo,Neyba,CL NO,18 30 17,71 26 15,584.4,68,94
17,5302,228100,2027400,400,PUERTO ESCONDIDO,Lago Enriquillo,Puerto Escondido,CL INDR,18 19 15,71 34 20,621.1,67,96
18,101,218930,2158681,45,DON MIGUEL,Rio Chacuey,Don Miguel,LH,19 30 10,71 40 40,1424.5,65,96
19,201,231743,2156947,200,PARTIDO,Rio Chacuey,Partido,LD NO,19 29 20,71 33 20,1425.6,61,96
20,1601,398389,2131443,180,Cinta Negra,Rio Nagua,Cinta Negra,LH,,,,,
21,1602,398389,2131443,180,El Pozo - Nagua,Rio Nagua,El Pozo - Nagua,LH,,,,,
22,3804,350914,2050725,1170,LA LAGUNA,Rio Nizao,La Laguna,LH,18 32 30,70 24 45,967.9,62,94
