CODIGO,ESTACION,ORDEN,X (UTM),Y (UTM),dist_x,dist_y
5408,Catanamatias,6,246400,2107600,70,465
5408,Catanamatias,330,246470,2108065,70,465
5401,Matayaya,7,227100,2089700,204,239
5401,Matayaya,332,227304,2089939,204,239
5410,Naranjito,333,237540,2134156,10,10
5410,Naranjito,649,237550,2134166,10,10
5411,Sabana Mula,8,230913,2106562,10,10
5411,Sabana Mula,337,230923,2106552,10,10
602,La Isabela,9,283831,2194018,0,0
602,La Isabela,338,283831,2194018,0,0
5312,Angostura,15,246800,2021400,140,344
5312,Angostura,354,246660,2021744,140,344
6693,Sabana de la Mar,582,459060,2105968,0,0
3402,Medina,347,379205,2049786,5,86
3402,Medina,637,379200,2049700,5,86
6696,Cítricos Dominicanos,619,369250,2072400,0,0
3401,Engombe,11,394200,2040200,5,91
3401,Engombe,346,394195,2040291,5,91
3401,Engombe,738,394195,2040230,5,91
6691,La Guama,623,535700,2079800,0,0
1501,Los Jengibres,340,390063,2149752,0,0
1501,Los Jengibres,630,390063,2149752,0,0
4425,El Memiso,26,334100,2047800,16,205
4425,El Memiso,385,334116,2048005,16,205
4426,Los Arroyos,28,338700,2061900,36,147
4426,Los Arroyos,399,338664,2062047,36,147
4401,Naranjal,27,344100,2050900,55,64
4401,Naranjal,386,344142,2050964,55,64
4401,Naranjal,737,344155,2050909,55,64
3001,El Seibo,31,495316,2074882,79,417
3001,El Seibo,417,495316,2074882,79,417
3001,El Seibo,584,495395,2075299,79,417
401,Jarabacoa,4,328200,2115900,584,208
401,Jarabacoa,33,327616,2116108,584,208
401,Jarabacoa,443,327616,2116108,584,208
408,La Antona,38,248012,2172710,0,0
408,La Antona,427,248012,2172710,0,0
411,Matagrande,41,291036,2125098,6,8
411,Matagrande,433,291030,2125090,6,8
406,Boca de Mao,37,284817,2167215,0,0
406,Boca de Mao,434,284817,2167215,0,0
467,El Arroyaso,472,338755,2106506,0,0
407,El Naranjito,429,254772,2155388,772,388
407,El Naranjito,653,254000,2155000,772,388
404,Isa,36,316716,2151116,4,0
404,Isa,442,316720,2151116,4,0
401,Jarabacoa,4,328200,2115900,584,208
401,Jarabacoa,33,327616,2116108,584,208
401,Jarabacoa,443,327616,2116108,584,208
405,Quinigua,446,313892,2160063,5,5
405,Quinigua,633,313897,2160068,5,5
402,Tavera,3,319400,2134600,328,19950
402,Tavera,34,319272,2114650,328,19950
402,Tavera,444,319454,2133099,328,19950
402,Tavera,631,319600,2132700,328,19950
4902,Constanza,558,319196,2091896,4,96
4902,Constanza,639,319200,2091800,4,96
1815,Angelina,80,371447,2115750,4,2
1815,Angelina,514,371450,2115749,4,2
1815,Angelina,535,371451,2115748,4,2
1802,Juma-Bonao,69,354007,2090360,7,60
1802,Juma-Bonao,509,354007,2090360,7,60
1802,Juma-Bonao,524,354000,2090300,7,60
1814,Barraquito,72,417029,2115287,29,199
1814,Barraquito,513,417029,2115486,29,199
1814,Barraquito,534,417000,2115400,29,199
1843,El Aguacate,81,420145,2120055,2,2
1843,El Aguacate,522,420144,2120053,2,2
1843,El Aguacate,548,420146,2120053,2,2
1817,Los Botados,74,333904,2087269,1104,169
1817,Los Botados,516,333904,2087269,1104,169
1817,Los Botados,537,332800,2087100,1104,169
1838,Cenovi en Santa Ana,543,358369,2133983,0,0
1803,El Limón,70,413830,2117960,4,1
1803,El Limón,510,413827,2117961,4,1
1803,El Limón,525,413826,2117960,4,1
1816,José Contreras,73,347799,2153133,299,33
1816,José Contreras,515,347799,2153133,299,33
1816,José Contreras,536,347500,2153100,299,33
1806,Presa Hatillo,71,368090,2095481,10,81
1806,Presa Hatillo,512,368100,2095400,10,81
1806,Presa Hatillo,528,368090,2095481,10,81
