Nombre,Estado,entidad,tipo,propiedad,Longtiud,Latitud
Vuelta Larga,activa o bueno,Guakía Ambiente,meteoclimática,privada,-69.993499,19.290499
Jardín Botánico de Santo Domingo,activa o bueno,INTEC,meteoclimática,privada,-69.95305633544922,18.4950008392334
San Pedro de Macorís,activa o bueno,INTEC,meteoclimática,privada,-69.28655242919922,18.47432518005371
Las Terrenas,activa o bueno,INTEC,meteoclimática,privada,-69.55256652832031,19.032482147216797
Jardín Botánico de Santiago,activa o bueno,INTEC,meteoclimática,privada,-70.69771575927734,19.497507095336914
"Colegio Quisqueya, Santo Domingo",activa o bueno,INTEC,meteoclimática,privada,-69.95044708251953,18.456371307373047
Campus PUCCM Santiago,activa o bueno,PUCMM,meteoclimática,privada,-70.682416,19.4409224
Campus PUCMM Santo Domingo,activa o bueno,PUCMM,meteoclimática,privada,-69.929943,18.463916
Los_Tocones_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.34635,19.50247
Chacuey_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.5648,19.50264
Agua_de_Luis_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.21466,19.75922
Juliana_Jaramillo_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.6147,19.78727
Banamiel_Oficina_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.19435,19.66831
Esnamarena_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.60576,19.1255
Unisa_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.74848,19.44292
Agrofrontera_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.38353,19.60421
Los_Montones_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.9251,19.28876
La_Guama_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.5016,18.71723
Plan_Yaque_Manabao_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.79701,19.07087
Ekoban1_Amina_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.98673,19.53784
Banelino_Mao,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.09064,19.55873
Montecristi_Oficina_Banelino,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.64626,19.84958
Amina_Banelino,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.96859,19.5451
Judea_Nueva_Banamiel,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.65865,19.70878
Hatillo_Palma_Banelino,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.21455,19.66124
Hato_al_Medio_Banelino,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.31737,19.67714
Bananera_los_Rios,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.19988,19.63595
Novillero_Clay_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.11765,19.86363
Guananico_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.93845,19.73703
Puerto Plata_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.64679,19.70652
Jumunuco_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.7499,19.09705
La_Pita_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.6336,19.00903
Ucateci_LaVega_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.5191,19.23312
Las_Matas_de_Farfan_REDDOM,activa o bueno,Fundación REDDOM,meteoclimática,privada,-71.54292,18.87926
La_Cumbre_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.62268,19.54729
Santiago_Apedi_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.70682,19.47227
Cevicos_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-69.97047,19.00639
Cimpa_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.84041,19.52976
Conacado_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.25831,19.04199
Sur_Futuro_Reddom,activa o bueno,Fundación REDDOM,meteoclimática,privada,-70.94145,18.73675
NA,activa o bueno,CAEI,pluviométrica,privada,-69.2188898,18.55293580000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.18946913,18.55230376999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.19706697,18.57829352999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.17891705,18.59603524
NA,activa o bueno,CAEI,pluviométrica,privada,-69.17079769,18.58075942999999
NA,activa o bueno,CAEI,pluviométrica,privada,-69.32053853,18.52682436000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.32005935,18.50351607000001
NA,activa o bueno,CAEI,pluviométrica,privada,-69.53085651000002,18.68998024000003
NA,activa o bueno,CAEI,pluviométrica,privada,-69.59511426,18.69934205
NA,activa o bueno,CAEI,pluviométrica,privada,-69.45966665999998,18.49031110999999
