ID,Nombre,Estado,Longitud,Latitud
78466,ARPT. ARROYO BARRIL,activa,-69.43144,19.2005
78457,ARPT. GREGORIO LUPERÓN,activa,-70.56316,19.75416
78482,ARPT. MARÍA MONTEZ,activa,-71.12288,18.24861
78473,BAYAGUANA,activa,-69.63083,18.74216
78478,CABO ENGAÑO,activa,-68.3255,18.616784
78464,CABRERA,activa,-69.90633,19.64436
22584,CONSTANZA,activa,-70.71619,18.91173
22754,HONDO VALLE,activa,-71.69364,18.71213
23523,JARABACOA,activa,-70.605721,19.125508
78480,JIMANÍ,activa,-71.85301,18.49278
21199,ARPT. DE LA ROMANA,activa,-68.90925,18.448528
23551,LA VEGA,activa,-70.53108,19.22275
22346,LA VICTORIA,activa,-69.839562,18.597791
78485,ARPT. DE LAS AMÉRICAS,activa,-69.67959,18.43306
22239,LOS LLANOS,activa,-69.490958,18.62499
NA,LOYOLA (SCR ),activa,-70.112727,18.411929
23591,MOCA,activa,-70.532128,19.388109
23693,MONCIÓN,activa,-71.16163,19.40988
78451,MONTE CRISTI,activa,-71.6535,19.84988
20668,OVIEDO,activa,-71.40403,17.80205
22559,PADRE LAS CASAS,activa,-70.94115,18.730262
NA,PERALTA,activa,-70.75596,18.57806
21626,POLO,activa,-71.27231,18.08746
22449,RANCHO ARRIBA,activa,-70.44973,18.69438
24421,RÍO SAN JUAN,activa,-70.074753,19.632512
78467,SABANA DE LA MAR,activa,-69.388833,19.052667
23489,SALCEDO,activa,-70.414978,19.375306
23256,SAMANÁ,activa,-69.33286,19.20438
22510,SAN JOSÉ DE OCOA,activa,-70.509495,18.542
21193,SAN RAFAEL DEL YUMA,activa,-68.67416,18.426103
23352,SÁNCHEZ,activa,-69.61311,19.23314
78460,SANTIAGO,activa,-70.69806,19.50054
78486,SANTO DOMINGO ESTE,activa,-69.870528,18.473389
23358,VILLA RIVA,activa,-69.91483,19.17993
24659,VILLA VÁSQUEZ,activa,-71.457297,19.742069
22443,VILLA ALTAGRACIA,activa,-70.170604,18.675819
NA,ALTAMIRA,inactiva o no reportada,-70.834,19.67516
NA,ANGELINA,inactiva o no reportada,-70.219772,19.131379
NA,ARPT. DE PUNTA CANA,inactiva o no reportada,-68.35941,18.564
NA,ARPT. DEL CIBAO,inactiva o no reportada,-70.59781,19.40305
NA,ARPT. EL CATEY,inactiva o no reportada,-69.73366,19.267
NA,ARPT. LA ISABELA,inactiva o no reportada,-69.98158,18.57696
NA,ARROYO LORO,inactiva o no reportada,-71.27818,18.81403
NA,BANÍ,inactiva o no reportada,-70.310141,18.278667
NA,BÁNICA,inactiva o no reportada,-71.698361,19.081556
NA,BASE AÉREA DE SAN ISIDRO,inactiva o no reportada,-69.769894,18.499443
NA,BOHECHÍO,inactiva o no reportada,-70.991503,18.77747
NA,BONAO,inactiva o no reportada,-70.405,18.933167
NA,CABRAL,inactiva o no reportada,-71.219201,18.247844
NA,COTUÍ,inactiva o no reportada,-70.15273,19.04825
NA,DAJABÓN,inactiva o no reportada,-71.70436,19.54325
NA,DUVERGÉ,inactiva o no reportada,-71.51814,18.37666
NA,EL CERCADO,inactiva o no reportada,-71.51884,18.72556
NA,EL SEIBO,inactiva o no reportada,-69.03995,18.774383
NA,ELÍAS PIÑA,inactiva o no reportada,-71.70133,18.876
NA,ENRIQUILLO,inactiva o no reportada,-71.241726,17.891649
NA,GASPAR HERNÁNDEZ,inactiva o no reportada,-70.27311,19.62383
NA,GURABO,inactiva o no reportada,-70.667133,19.497939
NA,HATO MAYOR,inactiva o no reportada,-69.255567,18.770052
NA,HIGÜEY,inactiva o no reportada,-68.700981,18.62045
NA,IMBERT,inactiva o no reportada,-70.830419,19.756257
NA,JARDÍN BOTÁNICO NACIONAL,inactiva o no reportada,-69.952926,18.494893
NA,JUMA BONAO,inactiva o no reportada,-70.385492,18.900467
NA,LA VEGA - IATESA,inactiva o no reportada,-70.55246,19.2523
NA,LA VEGA - M. A.,inactiva o no reportada,-70.4985,19.1992
NA,LAS MATAS DE FARFÁN,inactiva o no reportada,-71.528194,18.874778
NA,LAS MATAS DE SANTA CRUZ,inactiva o no reportada,-71.50686,19.65356
NA,LIMÓN DEL YUNA,inactiva o no reportada,-69.78488,19.11985
NA,LOMA DE CABRERA,inactiva o no reportada,-71.612283,19.419246
NA,LUPERÓN,inactiva o no reportada,-70.964236,19.887171
NA,MAO,inactiva o no reportada,-71.04966,19.58833
NA,MICHES,inactiva o no reportada,-69.04221,18.980991
NA,MONTE PLATA,inactiva o no reportada,-69.7816,18.802429
NA,NAVARRETE,inactiva o no reportada,-70.867391,19.560624
NA,NEIBA,inactiva o no reportada,-71.418885,18.483474
NA,PARQUE MIRADOR NORTE,inactiva o no reportada,-69.931117,18.527627
NA,PARQUE MIRADOR SUR,inactiva o no reportada,-69.93416,18.45298
NA,RADIOSONDA,inactiva o no reportada,-69.870159,18.474157
NA,RESTAURACIÓN,inactiva o no reportada,-71.68913,19.31497
NA,SABANA GRANDE DE BOYÁ,inactiva o no reportada,-69.800986,18.943844
NA,SAN CRISTÓBAL,inactiva o no reportada,-70.09011,18.4071
NA,SANTIAGO RODRÍGUEZ,inactiva o no reportada,-71.338987,19.477117
NA,TÁBARA ABAJO,inactiva o no reportada,-70.86903,18.46438
NA,TAMBORIL,inactiva o no reportada,-70.611409,19.483423
NA,VILLA ISABELA,inactiva o no reportada,-71.05694,19.82111
NA,VILLA LOS ALMÁCIGOS,inactiva o no reportada,-71.443281,19.410804
NA,YAMASÁ,inactiva o no reportada,-70.021748,18.772706
